Pesquisador;
https://scholar.google.com/citations?user=ztd9BnsAAAAJ&hl=pt-BR;
https://scholar.google.com/citations?user=dxEWdrAAAAAJ&hl=pt-BR;
https://scholar.google.com/citations?user=UX9GgPgAAAAJ&hl=pt-BR;
